init?shape0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height5?width5?
0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?
0?pos_derivs[[321.5, 286.25586250000026], [10.0, 40.14150000000003], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[322.0, 288.27520000000027], [10.0, 40.632000000000026], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[322.5, 290.31906250000026], [10.0, 41.122500000000024], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[323.0, 292.3874500000003], [10.0, 41.61300000000002], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[323.5, 294.4803625000003], [10.0, 42.10350000000002], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[324.0, 296.5978000000003], [10.0, 42.594000000000015], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[324.5, 298.73976250000027], [10.0, 43.08450000000001], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[325.0, 300.9062500000003], [10.0, 43.57500000000001], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[325.5, 303.0972625000003], [10.0, 44.06550000000001], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[326.0, 305.31280000000027], [10.0, 44.556000000000004], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[326.5, 307.5528625000003], [10.0, 45.0465], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[327.0, 309.8174500000003], [10.0, 45.537], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[327.5, 312.1065625000003], [10.0, 46.027499999999996], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[328.0, 314.4202000000003], [10.0, 46.517999999999994], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[328.5, 316.7583625000003], [10.0, 47.00849999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[329.0, 319.1210500000003], [10.0, 47.49899999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[329.5, 321.5082625000003], [10.0, 47.989499999999985], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[330.0, 323.9200000000003], [10.0, 48.47999999999998], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[330.5, 326.3562625000003], [10.0, 48.97049999999998], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[331.0, 328.8170500000003], [10.0, 49.46099999999998], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[331.5, 331.3023625000003], [10.0, 49.951499999999974], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[332.0, 333.8122000000003], [10.0, 50.44199999999997], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[332.5, 336.3465625000003], [10.0, 50.93249999999997], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[333.0, 338.9054500000003], [10.0, 51.422999999999966], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[333.5, 341.4888625000003], [10.0, 51.913499999999964], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[334.0, 344.0968000000003], [10.0, 52.40399999999996], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[334.5, 346.7292625000003], [10.0, 52.89449999999996], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[335.0, 349.3862500000003], [10.0, 53.384999999999955], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[335.5, 352.0677625000003], [10.0, 53.87549999999995], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[336.0, 354.7738000000003], [10.0, 54.36599999999995], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[336.5, 357.5043625000003], [10.0, 54.85649999999995], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[337.0, 360.2594500000003], [10.0, 55.346999999999944], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[337.5, 363.0390625000003], [10.0, 55.83749999999994], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[338.0, 365.8432000000003], [10.0, 56.32799999999994], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[338.5, 368.6718625000003], [10.0, 56.818499999999936], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[339.0, 371.5250500000003], [10.0, 57.30899999999993], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[339.5, 374.4027625000003], [10.0, 57.79949999999993], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[340.0, 377.3050000000003], [10.0, 58.28999999999993], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[340.5, 380.2317625000003], [10.0, 58.780499999999925], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[341.0, 383.18305000000026], [10.0, 59.27099999999992], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[341.5, 386.1588625000003], [10.0, 59.76149999999992], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[342.0, 389.1592000000003], [10.0, 60.25199999999992], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[342.5, 392.18406250000027], [10.0, 60.742499999999914], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[343.0, 395.2334500000003], [10.0, 61.23299999999991], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[343.5, 398.3073625000003], [10.0, 61.72349999999991], [0.0, 9.81], [0, 0]]?
