46?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
46?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
47?shapeCircle?pos[0.0, -110.65680000000009]?velocity[0.0, -47.08800000000005]?mass10.0?bounce1.0?staticFalse?radius10.0?
47?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
47?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
48?shapeCircle?pos[0.0, -115.3656000000001]?velocity[0.0, -48.06900000000005]?mass10.0?bounce1.0?staticFalse?radius10.0?
48?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
48?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
49?shapeCircle?pos[0.0, -120.1725000000001]?velocity[0.0, -49.050000000000054]?mass10.0?bounce1.0?staticFalse?radius10.0?
49?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
49?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
50?shapeCircle?pos[0.0, -125.0775000000001]?velocity[0.0, -50.031000000000056]?mass10.0?bounce1.0?staticFalse?radius10.0?
50?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
50?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
51?shapeCircle?pos[0.0, -130.08060000000012]?velocity[0.0, -51.01200000000006]?mass10.0?bounce1.0?staticFalse?radius10.0?
51?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
51?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
52?shapeCircle?pos[0.0, -135.18180000000012]?velocity[0.0, -51.99300000000006]?mass10.0?bounce1.0?staticFalse?radius10.0?
52?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
52?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
53?shapeCircle?pos[0.0, -140.38110000000012]?velocity[0.0, -52.97400000000006]?mass10.0?bounce1.0?staticFalse?radius10.0?
53?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
53?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
54?shapeCircle?pos[0.0, -145.67850000000013]?velocity[0.0, -53.95500000000006]?mass10.0?bounce1.0?staticFalse?radius10.0?
54?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
54?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
55?shapeCircle?pos[0.0, -151.07400000000013]?velocity[0.0, -54.936000000000064]?mass10.0?bounce1.0?staticFalse?radius10.0?
55?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
55?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
56?shapeCircle?pos[0.0, -156.56760000000014]?velocity[0.0, -55.917000000000066]?mass10.0?bounce1.0?staticFalse?radius10.0?
56?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
56?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
57?shapeCircle?pos[0.0, -162.15930000000014]?velocity[0.0, -56.89800000000007]?mass10.0?bounce1.0?staticFalse?radius10.0?
57?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
57?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
58?shapeCircle?pos[0.0, -167.84910000000016]?velocity[0.0, -57.87900000000007]?mass10.0?bounce1.0?staticFalse?radius10.0?
58?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
58?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
59?shapeCircle?pos[0.0, -173.63700000000017]?velocity[0.0, -58.86000000000007]?mass10.0?bounce1.0?staticFalse?radius10.0?
59?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
59?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
60?shapeCircle?pos[0.0, -179.52300000000017]?velocity[0.0, -59.84100000000007]?mass10.0?bounce1.0?staticFalse?radius10.0?
60?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
60?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
61?shapeCircle?pos[0.0, -185.50710000000018]?velocity[0.0, -60.822000000000074]?mass10.0?bounce1.0?staticFalse?radius10.0?
61?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
61?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
62?shapeCircle?pos[0.0, -191.58930000000018]?velocity[0.0, -61.803000000000075]?mass10.0?bounce1.0?staticFalse?radius10.0?
62?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
62?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
63?shapeCircle?pos[0.0, -197.7696000000002]?velocity[0.0, -62.78400000000008]?mass10.0?bounce1.0?staticFalse?radius10.0?
63?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
63?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
64?shapeCircle?pos[0.0, -204.0480000000002]?velocity[0.0, -63.76500000000008]?mass10.0?bounce1.0?staticFalse?radius10.0?
64?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
64?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
65?shapeCircle?pos[0.0, -210.42450000000022]?velocity[0.0, -64.74600000000008]?mass10.0?bounce1.0?staticFalse?radius10.0?
65?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
65?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
66?shapeCircle?pos[0.0, -216.89910000000023]?velocity[0.0, -65.72700000000007]?mass10.0?bounce1.0?staticFalse?radius10.0?
66?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
66?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
67?shapeCircle?pos[0.0, -223.47180000000023]?velocity[0.0, -66.70800000000007]?mass10.0?bounce1.0?staticFalse?radius10.0?
67?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
67?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
68?shapeCircle?pos[0.0, -230.14260000000024]?velocity[0.0, -67.68900000000006]?mass10.0?bounce1.0?staticFalse?radius10.0?
68?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
68?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
69?shapeCircle?pos[0.0, -236.91150000000025]?velocity[0.0, -68.67000000000006]?mass10.0?bounce1.0?staticFalse?radius10.0?
69?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
69?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
70?shapeCircle?pos[0.0, -243.77850000000026]?velocity[0.0, -69.65100000000005]?mass10.0?bounce1.0?staticFalse?radius10.0?
70?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
70?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
